id,day,mass.init,mass.final,xCH4
I1,0,NA,183.7168,0
I1,0.840277777773736,183.7157,183.6832,0.346470588235294
I1,1.84375,183.682,183.6602,0.474725747472575
I1,2.85069444444525,183.6585,183.641,0.525538124771981
I1,3.80902777777374,183.6415,183.6269,0.551645113766574
I1,4.86111111110949,183.6256,183.6123,0.573023255813953
I1,5.85902777777665,183.6145,183.6039,0.586181387779257
I1,6.8395833333343,183.6004,183.5923,0.594749336684821
I1,8.91666666666424,183.5946,183.58,0.617650892973537
I1,10.878472222219,183.5817,183.5681,0.628690913699151
I1,13.125,183.5679,183.5539,0.633558220889555
I1,15.8541666666642,183.5526,183.5397,0.636411639283979
I1,18.909722222219,183.538,183.526,0.640532715691951
I1,22.8611111111095,183.5203,183.5077,0.646623391413279
I1,27.1458333333285,183.5068,183.4914,0.650957125265868
I2,0,NA,184.28255,0
I2,0.840277777773736,184.2815,184.25,0.346482190167795
I2,1.84375,184.2496,184.2266,0.471216746620148
I2,2.85069444444525,184.2241,184.2067,0.522689994532531
I2,3.80902777777374,184.2073,184.1926,0.555334987593052
I2,4.86111111110949,184.1919,184.1801,0.567874358575649
I2,5.85902777777665,184.1819,184.1719,0.583283847980998
I2,6.8395833333343,184.1677,184.1714,0.591264760278845
I2,8.91666666666424,184.1738,184.158,0.616224033657639
I2,10.878472222219,184.1604,184.1466,0.631061766207249
I2,13.125,184.1456,184.1328,0.632188200149365
I2,15.8541666666642,184.1314,184.1175,0.636275578157162
I2,18.909722222219,184.1158,184.1028,0.64014615747289
I2,22.8611111111095,184.0993,184.0869,0.644085164522373
I2,27.1458333333285,184.0863,184.072,0.649341958509926
I3,0,NA,183.2664,0
I3,0.840277777773736,183.2655,183.2331,0.347303634232122
I3,1.84375,183.2337,183.2102,0.473582057364675
I3,2.85069444444525,183.208,183.1925,0.52568306010929
I3,3.80902777777374,183.192,183.178,0.554280091833388
I3,4.86111111110949,183.176,183.1627,0.574178762414056
I3,5.85902777777665,183.164,183.155,0.58844922897876
I3,6.8395833333343,183.1519,183.1415,0.597262952101662
I3,8.91666666666424,183.1454,183.1298,0.62183908045977
I3,10.878472222219,183.1316,183.1208,0.633299798792757
I3,13.125,183.1197,183.1045,0.637093829864914
I3,15.8541666666642,183.102,183.0891,0.63975395475217
I3,18.909722222219,183.0873,183.0746,0.646010483401281
I3,22.8611111111095,183.0696,183.0562,0.648012611192433
I3,27.1458333333285,183.0548,183.04,0.652707182320442
L1,0,NA,184.6046,0
L1,0.840277777773736,184.6039,184.5705,0.349913743530765
L1,1.84375,184.5713,184.5138,0.510601320820299
L1,2.85069444444525,184.5121,184.3237,0.549402823018458
L1,3.80902777777374,184.3243,184.094,0.505223880597015
L1,4.86111111110949,184.093,183.9256,0.473787815996685
L1,5.85902777777665,183.9273,183.8395,0.461984069514844
L1,6.8395833333343,183.8366,183.7804,0.475962039837314
L1,8.91666666666424,183.7839,183.7215,0.530243360597799
L1,10.878472222219,183.7236,183.6853,0.538836925579504
L1,13.125,183.6839,183.6545,0.545894694371596
L1,15.8541666666642,183.6527,183.6271,0.553227006724397
L1,18.909722222219,183.6252,183.604,0.563969465648855
L1,22.8611111111095,183.5991,183.5758,0.580635245901639
L1,27.1458333333285,183.5747,183.549,0.592175940002027
L2,0,NA,183.88815,0
L2,0.840277777773736,183.8883,183.8521,0.363662131519274
L2,1.84375,183.8512,183.7965,0.519089197055299
L2,2.85069444444525,183.7939,183.6018,0.551315477601327
L2,3.80902777777374,183.6019,183.3672,0.506840530141086
L2,4.86111111110949,183.3642,183.1983,0.471698113207547
L2,5.85902777777665,183.1989,183.1127,0.459531910506238
L2,6.8395833333343,183.1087,183.0543,0.474748533109807
L2,8.91666666666424,183.0572,182.9952,0.535175879396985
L2,10.878472222219,182.9973,182.9558,0.544362292051756
L2,13.125,182.955,182.9246,0.550325998370008
L2,15.8541666666642,182.9238,182.8943,0.55914575900927
L2,18.909722222219,182.8925,182.8695,0.569179195449004
L2,22.8611111111095,182.8639,182.8405,0.582398706678792
L2,27.1458333333285,182.8379,182.8123,0.59627579265224
L3,0,NA,185.5747,0
L3,0.840277777773736,185.574,185.5383,0.356152758132956
L3,1.84375,185.5385,185.4828,0.512275814034477
L3,2.85069444444525,185.4806,185.2893,0.547248803827751
L3,3.80902777777374,185.2895,185.0544,0.505963791267306
L3,4.86111111110949,185.0533,184.8886,0.473992673992674
L3,5.85902777777665,184.8894,184.8025,0.457276022786121
L3,6.8395833333343,184.7981,184.7441,0.470260613703237
L3,8.91666666666424,184.7473,184.6833,0.530232558139535
L3,10.878472222219,184.6856,184.6446,0.539728283244133
L3,13.125,184.6442,184.6066,0.545739411705246
L3,15.8541666666642,184.6044,184.578,0.553374481432763
L3,18.909722222219,184.5766,184.5556,0.561025017725109
L3,22.8611111111095,184.5501,184.529,0.574605091055438
L3,27.1458333333285,184.5267,184.4957,0.590355381053056
C1,0,NA,188.205,0
C1,0.840277777773736,188.204,188.0469,0.51829550717925
C1,1.84375,188.0476,187.8448,0.58421052631579
C1,2.85069444444525,187.8416,187.6653,0.661670684414632
C1,3.80902777777374,187.6653,187.5613,0.656071805702218
C1,4.86111111110949,187.5602,187.4953,0.640796845818635
C1,5.85902777777665,187.4966,187.4524,0.628314931379631
C1,6.8395833333343,187.4486,187.4152,0.620584524810765
C1,8.91666666666424,187.4184,187.3764,0.636455085001509
C1,10.878472222219,187.3788,187.3443,0.629475606045238
C1,13.125,187.3431,187.313,0.623936816524909
C1,15.8541666666642,187.3124,187.2858,0.623523233019119
C1,18.909722222219,187.285,187.2637,0.624212878326224
C1,22.8611111111095,187.2585,187.236,0.629482071713147
C1,27.1458333333285,187.2336,187.2112,0.632852677220934
C2,0,NA,184.63195,0
C2,0.840277777773736,184.6316,184.4765,0.516245487364621
C2,1.84375,184.4767,184.2752,0.582975841047641
C2,2.85069444444525,184.2722,184.0976,0.660025300442758
C2,3.80902777777374,184.0976,183.9891,0.664293820282678
C2,4.86111111110949,183.9881,183.9217,0.645082919615506
C2,5.85902777777665,183.9232,183.8775,0.630922693266833
C2,6.8395833333343,183.8732,183.8403,0.623048094940662
C2,8.91666666666424,183.8433,183.8006,0.639533705017739
C2,10.878472222219,183.8031,183.7718,0.633878127522195
C2,13.125,183.7704,183.7395,0.630322645898655
C2,15.8541666666642,183.7393,183.7124,0.628742332880946
C2,18.909722222219,183.7116,183.6888,0.62914996402508
C2,22.8611111111095,183.6825,183.6608,0.633547335167635
C2,27.1458333333285,183.6587,183.6365,0.635495223730518
C3,0,NA,184.99025,0
C3,0.840277777773736,184.9889,184.8295,0.517442753957277
C3,1.84375,184.83,184.6295,0.58597180494569
C3,2.85069444444525,184.6262,184.4517,0.658251814452509
C3,3.80902777777374,184.452,184.3475,0.647349600336559
C3,4.86111111110949,184.3456,184.273,0.630337662337662
C3,5.85902777777665,184.2748,184.2258,0.616716789380898
C3,6.8395833333343,184.2222,184.1868,0.60936188077246
C3,8.91666666666424,184.1899,184.1456,0.626463817435692
C3,10.878472222219,184.1488,184.1163,0.623130912419896
C3,13.125,184.1142,184.0855,0.619766009852217
C3,15.8541666666642,184.0837,184.0583,0.620118525181461
C3,18.909722222219,184.0583,184.0348,0.622129223231602
C3,22.8611111111095,184.0299,184.0064,0.628069819362695
C3,27.1458333333285,184.0044,183.9829,0.6308
